"","x"
"874","FBgn0032680"
"875","FBgn0032683"
"876","FBgn0032684"
"877","FBgn0032685"
"878","FBgn0032688"
"879","FBgn0003270"
"880","FBgn0032689"
"881","FBgn0032690"
"882","FBgn0032692"
"883","FBgn0015553"
"884","FBgn0032698"
"885","FBgn0032699"
"886","FBgn0032701"
"887","FBgn0032702"
"888","FBgn0032704"
"889","FBgn0032706"
"890","FBgn0032707"
"891","FBgn0027074"
"892","FBgn0032713"
"893","FBgn0027070"
"894","FBgn0032715"
"895","FBgn0015808"
"896","FBgn0032717"
"897","FBgn0032721"
"898","FBgn0032720"
"899","FBgn0003896"
"900","FBgn0032723"
"901","FBgn0032725"
"902","FBgn0032726"
"903","FBgn0032727"
"904","FBgn0015772"
"905","FBgn0032728"
"906","FBgn0032729"
"907","FBgn0032731"
"908","FBgn0032732"
"909","FBgn0086710"
"910","FBgn0028569"
"911","FBgn0001202"
"912","FBgn0051800"
"913","FBgn0086442"
"914","FBgn0002022"
"915","FBgn0032744"
"916","FBgn0032746"
"917","FBgn0002021"
"918","FBgn0261396"
"919","FBgn0032749"
"920","FBgn0032750"
"921","FBgn0032752"
"922","FBgn0032754"
"923","FBgn0000075"
"924","FBgn0000422"
"925","FBgn0002031"
"926","FBgn0086444"
"927","FBgn0086445"
"928","FBgn0086443"
"929","FBgn0086446"
"930","FBgn0086447"
"931","FBgn0010300"
"932","FBgn0010097"
"933","FBgn0032775"
"934","FBgn0032781"
"935","FBgn0003346"
"936","FBgn0024230"
"937","FBgn0003732"
"938","FBgn0000964"
"939","FBgn0032787"
"940","FBgn0032790"
"941","FBgn0032791"
"942","FBgn0032793"
"943","FBgn0002044"
"944","FBgn0040268"
"945","FBgn0032796"
"946","FBgn0032799"
"947","FBgn0032800"
"948","FBgn0053116"
"949","FBgn0041180"
"950","FBgn0032808"
"951","FBgn0032811"
"952","FBgn0032813"
"953","FBgn0032816"
"954","FBgn0032818"
"955","FBgn0032819"
"956","FBgn0032820"
"957","FBgn0000529"
"958","FBgn0032821"
"959","FBgn0032822"
"960","FBgn0260966"
"961","FBgn0032827"
"962","FBgn0032833"
"963","FBgn0019686"
"964","FBgn0045064"
"965","FBgn0003141"
"966","FBgn0032843"
"967","FBgn0032845"
"968","FBgn0032846"
"969","FBgn0032847"
"970","FBgn0032849"
"971","FBgn0032850"
"972","FBgn0011638"
"973","FBgn0032857"
